"STRATUM","hhweight","region","hhsize","ch14","adult","elderly","sex_hhh","cons","HHID","year","educlevel_hhh","povline","food_povline","CLUSTER","_merge","below_pov"
2,1651.05509972139,1,5,1,4,0,1,106699.52298071,10301301305060,2018,5,49320,33748,103013,3,0
2,1651.05509972139,1,1,0,1,1,2,252493.585614225,10301301305069,2018,3,49320,33748,103013,3,0
2,1651.05509972139,1,4,1,3,0,1,82577.485635097,10301301305086,2018,4,49320,33748,103013,3,0
2,1651.05509972139,1,3,1,2,0,2,146347.331134592,10301301305094,2018,5,49320,33748,103013,3,0
2,1651.05509972139,1,5,1,4,0,1,58415.0575525402,10301301305102,2018,3,49320,33748,103013,3,0
2,1651.05509972139,1,3,1,2,0,2,213022.551856262,10301301305119,2018,4,49320,33748,103013,3,0
1,1598.49294634095,1,6,5,1,1,2,45007.3279001628,10303103001002,2018,2,49320,33748,103031,3,1
1,1598.49294634095,1,3,0,3,0,1,38176.5356436404,10303103001010,2018,1,49320,33748,103031,3,1
1,1598.49294634095,1,4,1,3,0,1,243939.542835324,10303103001017,2018,5,49320,33748,103031,3,0
1,1598.49294634095,1,5,3,2,0,1,64195.810353514,10303103001024,2018,3,49320,33748,103031,3,0
1,1598.49294634095,1,5,3,2,0,1,66692.7386420403,10303103001039,2018,3,49320,33748,103031,3,0
1,1598.49294634095,1,2,0,2,0,2,67466.732370885,10303103001046,2018,1,49320,33748,103031,3,0
1,1598.49294634095,1,3,1,2,0,1,166855.641512935,10303103001053,2018,2,49320,33748,103031,3,0
1,1598.49294634095,1,3,1,2,0,1,164735.811555431,10303103001061,2018,4,49320,33748,103031,3,0
1,1598.49294634095,1,3,1,2,0,1,76337.4058666585,10303103001075,2018,3,49320,33748,103031,3,0
1,1598.49294634095,1,6,1,5,2,1,82579.6889520672,10303103001082,2018,1,49320,33748,103031,3,0
1,1598.49294634095,1,3,2,1,1,2,81005.3122853895,10303103001090,2018,1,49320,33748,103031,3,0
1,1598.49294634095,1,3,1,2,0,1,48908.165258614,10303103001104,2018,3,49320,33748,103031,3,1
1,1657.15323794979,1,1,0,1,0,1,119970.427422541,10310101004008,2018,1,49320,33748,103101,3,0
