"STRATUM","hhweight","region","hhsize","ch14","adult","elderly","sex_hhh","cons","year","educlevel_hhh","hhid","CLUSTER","hhh_main_activity","povline","food_povline","below_pov"
1,1061.43831507929,1,6,3,3,1,1,44186.8469155657,2012,3,12101052040,5,1,36482,26085,0
1,1061.43831507929,1,3,2,1,0,2,47660.103713621,2012,1,12101052046,5,1,36482,26085,0
1,1061.43831507929,1,7,4,3,0,2,33416.9911552462,2012,1,12101052053,5,1,36482,26085,1
1,1061.43831507929,1,6,4,2,0,1,25779.3781324556,2012,3,12101052059,5,1,36482,26085,1
1,1061.43831507929,1,5,3,2,0,1,45353.8720562045,2012,3,12101052066,5,1,36482,26085,0
1,1061.43831507929,1,7,4,3,1,1,38632.3880789593,2012,3,12101052072,5,1,36482,26085,0
1,1061.43831507929,1,4,2,2,0,1,80420.054651722,2012,3,12101052085,5,1,36482,26085,0
1,1061.43831507929,1,3,0,3,0,1,97771.3668824061,2012,3,12101052091,5,1,36482,26085,0
1,1061.43831507929,1,7,5,2,0,1,62402.2349253446,2012,3,12101052098,5,1,36482,26085,0
1,1061.43831507929,1,5,1,4,0,1,28804.4266799576,2012,1,12101052104,5,1,36482,26085,1
1,1061.43831507929,1,5,3,2,0,1,32166.2624038124,2012,1,12101052111,5,1,36482,26085,1
1,1061.43831507929,1,7,4,3,0,1,36740.3157018975,2012,3,12101052117,5,1,36482,26085,0
1,1061.43831507929,1,2,1,1,1,1,56859.4847426893,2012,1,12101052124,5,1,36482,26085,0
1,1061.43831507929,1,2,0,2,0,1,46428.5466109477,2012,3,12101052136,5,1,36482,26085,0
1,1061.43831507929,1,6,4,2,0,1,30958.6091817158,2012,1,12101052149,5,1,36482,26085,1
1,1061.43831507929,1,1,0,1,0,1,115715.006199055,2012,2,12101052156,5,1,36482,26085,0
1,1061.43831507929,1,5,3,2,0,1,34750.6774614632,2012,3,12101052162,5,1,36482,26085,1
1,1061.43831507929,1,3,1,2,0,1,44408.6015511454,2012,3,12101052169,5,1,36482,26085,0
1,1061.43831507929,1,6,3,3,0,2,39857.5045321512,2012,1,12101052181,5,1,36482,26085,0
1,1061.43831507929,1,1,0,1,0,2,76550.4357104812,2012,1,12101052188,5,1,36482,26085,0
1,1268.90680332402,1,4,1,3,0,2,59319.1605778504,2012,2,13031043008,6,1,36482,26085,0
1,1268.90680332402,1,2,0,2,0,2,71797.6119665977,2012,3,13031043017,6,1,36482,26085,0
1,1268.90680332402,1,8,4,4,0,1,89752.1792574019,2012,3,13031043026,6,1,36482,26085,0
1,1268.90680332402,1,6,1,5,2,1,27749.4776648018,2012,1,13031043044,6,1,36482,26085,1
1,1268.90680332402,1,3,2,1,0,2,55208.2565319069,2012,3,13031043053,6,1,36482,26085,0
1,1268.90680332402,1,3,2,1,0,2,117617.516330368,2012,3,13031043062,6,2,36482,26085,0
1,1268.90680332402,1,5,4,1,0,2,20465.0071969362,2012,3,13031043071,6,4,36482,26085,1
1,1268.90680332402,1,7,2,5,1,2,30765.0700362361,2012,1,13031043080,6,NA,36482,26085,1
1,1268.90680332402,1,4,3,1,0,2,58355.0034837251,2012,3,13031043089,6,1,36482,26085,0
1,1268.90680332402,1,9,5,4,0,1,26716.2263642998,2012,3,13031043098,6,1,36482,26085,1
1,1268.90680332402,1,5,3,2,0,2,88584.4387321039,2012,4,13031043107,6,4,36482,26085,0
1,1268.90680332402,1,3,0,3,1,2,49047.0442222899,2012,1,13031043116,6,1,36482,26085,0
1,1268.90680332402,1,3,1,2,1,1,55330.4175170094,2012,2,13031043135,6,1,36482,26085,0
1,1268.90680332402,1,2,1,1,0,2,45813.0386105777,2012,1,13031043144,6,1,36482,26085,0
1,1268.90680332402,1,4,3,1,0,2,53004.0905568101,2012,3,13031043153,6,1,36482,26085,0
1,1268.90680332402,1,8,5,3,0,1,32611.2070707184,2012,3,13031043162,6,1,36482,26085,1
1,1268.90680332402,1,2,0,2,0,1,71188.944609954,2012,1,13031043180,6,1,36482,26085,0
1,1268.90680332402,1,3,2,1,0,2,67934.2944435985,2012,3,13031043189,6,1,36482,26085,0
1,1268.90680332402,1,1,0,1,0,1,88179.5241648242,2012,3,13031043198,6,1,36482,26085,0
1,1268.90680332402,1,4,3,1,0,1,49554.3797969952,2012,3,13031043207,6,1,36482,26085,0
1,1268.90680332402,1,8,6,2,0,1,32623.0103327617,2012,1,13031043216,6,1,36482,26085,1
1,1268.90680332402,1,1,0,1,0,2,144415.395331127,2012,1,13031043225,6,1,36482,26085,0
1,1268.90680332402,1,4,2,2,0,1,80722.5838381222,2012,1,13031043234,6,1,36482,26085,0
